LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag|CONTEXT_ATTRIBUTE|module|track
WSC_DP_REPROTS_DETAILS_LKP|IMP_ACC_TRX|1|Y|19/10/2021||IMP_ACC_TRX|JobDefinition://oracle/apps/ess/financials/subledgerAccounting/shared/XLATXNIMPORT|ImportAccounting Transaction|WSC_DP_REPROTS_DETAILS_LKP|AHCS|RTR
WSC_DP_REPROTS_DETAILS_LKP|CRE_ACC_DATASET|2|Y|19/10/2021||CRE_ACC_DATASET|JobDefinition://oracle/apps/ess/financials/subledgerAccounting/shared/XLAFSNAPDSET|Create Accounting for Data Set|WSC_DP_REPROTS_DETAILS_LKP|AHCS|RTR
WSC_DP_REPROTS_DETAILS_LKP|GL_BALANCES|3|Y|19/10/2021||GL_BALANCES|/Custom/WESCO Custom/GL/Interfaces/Wesco_GBL_GL_INT010_GL_Balances_To_Teradata_Outbound_Interface_Report.xdo|GL Data to TeraData for Reporting - GL Balances|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
WSC_DP_REPROTS_DETAILS_LKP|GL_JOURNALS|4|Y|19/10/2021||GL_JOURNALS|/Custom/WESCO Custom/GL/Interfaces/Wesco_GBL_GL_INT011_GL_Journals_To_Teradata_Outbound_Interface_Report.xdo|GL Data to TeraData for reporting - GL Journals|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
WSC_DP_REPROTS_DETAILS_LKP|GL_CENTRL_OUTBOUND_BALANCES|5|Y|19/10/2021||GL_CENTRL_OUTBOUND_BALANCES|/Custom/WESCO Custom/GL/Interfaces/Wesco_WSC_GBL_GL_INT040_Central_Outbound_Interface_Report.xdo|GL to Central Outbound Balances|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
WSC_DP_REPROTS_DETAILS_LKP|AHCS_ERROR_REPORT|6|Y|19/10/2021||AHCS_ERROR_REPORT|/Custom/WESCO Custom/AHCS/Reports/Wesco_GBL_AHCS_RPT006_Error_Report.xdo|AHCS Error Report|WSC_DP_REPROTS_DETAILS_LKP|AHCS|RTR
WSC_DP_REPROTS_DETAILS_LKP|EXCHANGE_RATE_OUTBOUND|7|Y|19/10/2021||EXCHANGE_RATE_OUTBOUND|/Custom/WESCO Custom/GL/Reports/Wesco_GBL_GL_RPT051_Exchange_Rate_Report.xdo|Exchange Rate Outbound|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
WSC_DP_REPROTS_DETAILS_LKP|GL_JOURNAL_DETAIL_REPORT|8|Y|19/10/2021||GL_JOURNAL_DETAIL_REPORT|/Custom/WESCO Custom/GL/Reports/Wesco_GBL_GL_RPT046_Journal_Line_Detail_Report.xdo|GL Journal detail Report|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
WSC_DP_REPROTS_DETAILS_LKP|CONTROL_ACC_MANUAL_ENTRY_RPT|9|Y|19/10/2021||CONTROL_ACC_MANUAL_ENTRY_RPT|/Custom/WESCO Custom/GL/Reports/Wesco_GBL_GL_RPT042_Control_Accounts_Manual_Entry_Review_Report.xdo|Control Account Manual Entry Review Report|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
WSC_DP_REPROTS_DETAILS_LKP|SUBLEDGER_ACC_ANALYSIS_REPORT|10|Y|19/10/2021||SUBLEDGER_ACCOUNT_ANALYSIS_REPORT|/Custom/WESCO Custom/AHCS/Reports/Wesco_GBL_AHCS_RPT009_Subledger_Account_Analysis_Report.xdo|Subledger Account Analysis Report|WSC_DP_REPROTS_DETAILS_LKP|AHCS|RTR
WSC_DP_REPROTS_DETAILS_LKP|GL_OPEN_BALANCES_CONVERSION|11|Y|19/10/2021||GL_OPEN_BALANCES_CONVERSION|/Custom/WESCO Custom/GL/Reports/Wesco_GBL_GL_CNV001_GL_Interface_Check_Report.xdo|GL Open Balances Conversion (YTD plus Current Fiscal Year period balances)|WSC_DP_REPROTS_DETAILS_LKP|GL|RTR
