LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag|CONTEXT_ATTRIBUTE|module|track
WSC_DP_LONG_RUN_JOB_LKP|40|40|Y|||Create Accounting|JobDefinition://oracle/apps/ess/financials/subledgerAccounting/shared/XLAFSNAPRPT|5|WSC_DP_LONG_RUN_JOB_LKP|AHCS|RTR
WSC_DP_LONG_RUN_JOB_LKP|50|50|Y|||Import Accounting Transaction|JobDefinition://oracle/apps/ess/financials/subledgerAccounting/shared/XLATXNIMPORT|5|WSC_DP_LONG_RUN_JOB_LKP|AHCS|RTR
WSC_DP_LONG_RUN_JOB_LKP|60|60|Y|||GL Data to TeraData for Reporting - GL Balances|/Custom/WESCO Custom/GL/Interfaces/Wesco_GBL_GL_INT010_GL_Balances_To_Teradata_Outbound_Interface_Report.xdo|30|WSC_DP_LONG_RUN_JOB_LKP|GL|RTR
WSC_DP_LONG_RUN_JOB_LKP|70|70|Y|||GL to Central Outbound Balances|/Custom/Wesco Custom/GL/Interfaces/Wesco_WSC_GBL_GL_INT040_Central_Outbound_Interface_Report.xdo|30|WSC_DP_LONG_RUN_JOB_LKP|GL|RTR
WSC_DP_LONG_RUN_JOB_LKP|100|100|Y|||Update Subledger Accounting Balances|JobDefinition://oracle/apps/ess/financials/subledgerAccounting/shared/XLABABUP|5|WSC_DP_LONG_RUN_JOB_LKP|AHCS|RTR
WSC_DP_LONG_RUN_JOB_LKP|130|130|Y|||Process Receipts through LockBox|JobDefinition://oracle/apps/ess/financials/receivables/receipts/lockboxes/LockboxImportEss|3|WSC_DP_LONG_RUN_JOB_LKP|AR|RTR
WSC_DP_LONG_RUN_JOB_LKP|230|230|Y|||Wesco_GBL_GL_RPT051_Exchange_Rate_Report|/Custom/WESCO Custom/GL/Reports/Wesco_GBL_GL_RPT051_Exchange_Rate_Report.xdo|3|WSC_DP_LONG_RUN_JOB_LKP|GL|RTR
WSC_DP_LONG_RUN_JOB_LKP|260|260|Y|||Wesco_GBL_AHCS_RPT006_Error_Report|/Custom/WESCO Custom/AHCS/Reports/Wesco_GBL_AHCS_RPT006_Error_Report.xdo|35|WSC_DP_LONG_RUN_JOB_LKP|AHCS|RTR
WSC_DP_LONG_RUN_JOB_LKP|280|280|Y|||Post Subledger Journal Entries|JobDefinition://oracle/apps/ess/financials/generalLedger/programs/common/PostingSingleLedger|10|WSC_DP_LONG_RUN_JOB_LKP|GL|RTR
WSC_DP_LONG_RUN_JOB_LKP|290|290|Y|||Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Job_Set|30|WSC_DP_LONG_RUN_JOB_LKP|AHCS|RTR
WSC_DP_LONG_RUN_JOB_LKP|300|300|Y|||Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report_Job_Set|45|WSC_DP_LONG_RUN_JOB_LKP|AHCS|RTR
