COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
Central to Cloud,5837,545-17,,,,,,,,
Central to Cloud,5837,545-18,,,,,,,,
Central to Cloud,5845,201-02,,,,,,,,
Central to Cloud,5845,545-17,,,,,,,,
Central to Cloud,5846,502-29,,,,,,,,
Central to Cloud,5846,545-18,,,,,,,,
Central to Cloud,6103,502-29,,,,,,,,
Central to Cloud,6103,502-39,,,,,,,,
Central to Cloud,6103,545-15,,,,,,,,
Central to Cloud,1956,201-01,,,,,,,,
Central to Cloud,1959,502-39,,,,,,,,
Central to Cloud,1968,201-01,,,,,,,,
Central to Cloud,1968,201-02,,,,,,,,
Central to Cloud,1856,221-21,,,,,,,,
Central to Cloud,1116,502-39,,,,,,,,
Central to Cloud,1120,224-04,,,,,,,,
Central to Cloud,1120,545-17,,,,,,,,
Central to Cloud,1338,201-03,,,,,,,,
Central to Cloud,1339,201-03,,,,,,,,
Central to Cloud,1339,502-29,,,,,,,,
Central to Cloud,1339,545-15,,,,,,,,
Central to Cloud,1341,201-02,,,,,,,,
Central to Cloud,1341,502-39,,,,,,,,
Central to Cloud,1344,201-03,,,,,,,,
Central to Cloud,2670,502-39,,,,,,,,
Central to Cloud,6112,545-17,,,,,,,,
Central to Cloud,6112,545-18,,,,,,,,
Central to Cloud,6216,201-01,,,,,,,,
Central to Cloud,6221,502-39,,,,,,,,
Central to Cloud,7410,201-02,,,,,,,,
Central to Cloud,2750,502-39,,,,,,,,
Central to Cloud,2760,201-02,,,,,,,,
Central to Cloud,2770,502-39,,,,,,,,
Central to Cloud,3240,545-17,,,,,,,,
Central to Cloud,3255,201-01,,,,,,,,
Central to Cloud,3255,545-15,,,,,,,,
Central to Cloud,6329,502-39,,,,,,,,
Central to Cloud,7423,302-07,,,,,,,,
Central to Cloud,7423,545-18,,,,,,,,
Central to Cloud,7434,502-29,,,,,,,,
Central to Cloud,7440,201-02,,,,,,,,
Central to Cloud,1971,221-22,,,,,,,,
Central to Cloud,7849,421-44,,,,,,,,
Central to Cloud,7582,423-82,,,,,,,,
Central to Cloud,7540,433-38,,,,,,,,
Central to Cloud,2380,221-11,,,,,,,,
Central to Cloud,7890,421-09,,,,,,,,
Central to Cloud,7696,421-70,,,,,,,,
Central to Cloud,3255,423-69,,,,,,,,
Central to Cloud,3615,423-23,,,,,,,,
Central to Cloud,1972,428-01,,,,,,,,
Central to Cloud,2335,421-69,,,,,,,,
Central to Cloud,2660,426-62,,,,,,,,
Central to Cloud,2815,222-11,,,,,,,,
Central to Cloud,7659,423-40,,,,,,,,
Central to Cloud,1120,421-64,,,,,,,,
Central to Cloud,5792,423-12,,,,,,,,
Central to Cloud,6101,421-30,,,,,,,,
Central to Cloud,7843,426-77,,,,,,,,
Central to Cloud,1915,421-32,,,,,,,,
Central to Cloud,1765,201-07,,,,,,,,
Central to Cloud,6711,433-43,,,,,,,,
Central to Cloud,7539,155-01,,,,,,,,
Central to Cloud,2520,540-21,,,,,,,,
Central to Cloud,2375,540-21,,,,,,,,
Central to Cloud,2335,221-15,,,,,,,,
Central to Cloud,7539,426-68,,,,,,,,
Central to Cloud,7867,221-01,,,,,,,,
Central to Cloud,7539,433-33,,,,,,,,
Central to Cloud,7890,224-04,,,,,,,,
Central to Cloud,7852,433-50,,,,,,,,
Central to Cloud,7228,224-16,,,,,,,,
Central to Cloud,2210,426-07,,,,,,,,
Central to Cloud,1765,224-07,,,,,,,,
Central to Cloud,3705,224-06,,,,,,,,
Central to Cloud,2770,224-31,,,,,,,,
Central to Cloud,2410,423-39,,,,,,,,
Central to Cloud,5837,302-07,,,,,,,,
Central to Cloud,7854,426-43,,,,,,,,
Central to Cloud,7423,426-43,,,,,,,,
Central to Cloud,5571,423-42,,,,,,,,
Central to Cloud,6218,423-60,,,,,,,,
Central to Cloud,2520,222-09,,,,,,,,
Central to Cloud,6438,426-33,,,,,,,,
Central to Cloud,6642,423-42,,,,,,,,
Central to Cloud,7880,221-14,,,,,,,,
Central to Cloud,7880,221-16,,,,,,,,
Central to Cloud,1938,426-30,,,,,,,,
Central to Cloud,7575,421-68,,,,,,,,
Central to Cloud,1716,222-01,,,,,,,,
Central to Cloud,7814,421-61,,,,,,,,
Central to Cloud,7601,421-45,,,,,,,,
Central to Cloud,1971,221-03,,,,,,,,
Central to Cloud,1977,433-50,,,,,,,,
Central to Cloud,3615,224-13,,,,,,,,
Central to Cloud,5441,423-30,,,,,,,,
Central to Cloud,7645,421-81,,,,,,,,
Central to Cloud,7144,221-16,,,,,,,,
Central to Cloud,1561,423-32,,,,,,,,
Central to Cloud,2370,224-31,,,,,,,,
Central to Cloud,1918,224-05,,,,,,,,
Central to Cloud,7658,426-60,,,,,,,,
Central to Cloud,1341,423-42,,,,,,,,
Central to Cloud,7853,426-59,,,,,,,,
Central to Cloud,5793,421-31,,,,,,,,
Central to Cloud,1922,433-05,,,,,,,,
Central to Cloud,7435,158-01,,,,,,,,
Central to Cloud,7635,224-10,,,,,,,,
Central to Cloud,5680,433-16,,,,,,,,
Central to Cloud,1983,423-39,,,,,,,,
Central to Cloud,6110,421-45,,,,,,,,
Central to Cloud,7852,221-15,,,,,,,,
Central to Cloud,2660,423-69,,,,,,,,
Central to Cloud,7889,421-69,,,,,,,,
Central to Cloud,5845,221-15,,,,,,,,
Central to Cloud,7446,201-02,,,,,,,,
