COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
POC to Cloud,002,004002,10408,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50724,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40103,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004444,44444,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,10496,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50107,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20080,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11007,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11052,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,70105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,70609,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50704,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50003,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50801,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,20403,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50709,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007304,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11050,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20097,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10701,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50603,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10409,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,013,004013,20301,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40603,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20088,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,013,004013,70609,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,11007,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007312,40201,000,000000,000000,000000,USD WESCO US,,
