LookupType|LookupCode|DisplaySequence|EnabledFlag|Meaning|Description|Tag
WSC_FTP_LOC_FILENAME|INT043||Y|Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Report|WSC_AHCS_Details_|/GL/Teradata/outbound/AHCS/AHCS_Details/out
WSC_FTP_LOC_FILENAME|INT044||Y|Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report|WSC_AHCS_Balances_|/GL/Teradata/outbound/AHCS/AHCS_Balances/out
WSC_FTP_LOC_FILENAME|INT244||Y|Wesco_AXE_GBL_AHCS_INT244_AHCS_Conversion_Details_To_IAP_Outbound_Interface|WSC_AHCS_ConversionDetails_|/GL/Teradata/outbound/AHCS/AHCS_Conversion_Details/out
WSC_FTP_LOC_FILENAME|INT185_INT186||Y|Wesco_AXE_GBL_AP_INT185_INT186_IC_AP_Invoices_Feed_To_IAP_Teradata|WSC_AP_Invoices_done_|/GL/Teradata/outbound/AP/Invoice/out/
WSC_FTP_LOC_FILENAME|INT187_INT188||Y|Wesco_AXE_GBL_AP_INT187_INT188_IC_AP_Payments_to_IAP_Teradata_Report|WSC_AP_Payments_|/GL/Teradata/outbound/AP/Payment/out/
WSC_FTP_LOC_FILENAME|INT232_INT233||Y|Wesco_AXE_GBL_AP_INT232_INT233_Open AP_Invoice_Balances_to_IAP_Teradata|WSC_AP_INV_BALANCES_|/GL/Teradata/outbound/AP/Balances/out
WSC_FTP_LOC_FILENAME|INT189_INT190||Y|Wesco_AXE_GBL_AR_INT189_INT190_IC_AR_Invoice_to_IAP_Teradata|WSC_AR_Invoices_|/GL/Teradata/outbound/AR/Invoice/out/
WSC_FTP_LOC_FILENAME|INT191_INT192||Y|Wesco_AXE_GBL_AR_INT191_INT192_IC_AR_Receipts_to_IAP_Teradata_Report|WSC_AR_Receipts_|/GL/Teradata/outbound/AR/Receipt/out/
WSC_FTP_LOC_FILENAME|INT234_INT235||Y|Wesco_AXE_GBL_AR_INT234_INT235_AR_Invoice_Balances_to_IAP_Teradata_Report|WSC_AR_Invoices_Balances_|/GL/Teradata/outbound/AR/Balances/out/
WSC_FTP_LOC_FILENAME|INT010||Y|Wesco_GBL_GL_INT010_GL_Balances_To_Teradata_Outbound_Interface_Report|WSC_GL_BALANCES_|/GL/Teradata/outbound/gl_balance/out/
WSC_FTP_LOC_FILENAME|INT011||Y|Wesco_GBL_GL_INT011_GL_Journals_To_Teradata_Outbound_Interface_Report|WSC_GL_JOURNALS_|/GL/Teradata/outbound/journals/out/
WSC_FTP_LOC_FILENAME|INT021||Y|Wesco_AXE_GBL_GL_INT021_GL_Journals_To_Teradata_Outbound_Interface_Report|WSC_GL_JOURNALS_|/GL/Teradata/outbound/journals/out/
WSC_FTP_LOC_FILENAME|INT042||Y|Wesco_AXE_GBL_GL_INT042_GL_Balances_To_Teradata_Outbound_Interface_Report|WSC_GL_BALANCES_|/GL/Teradata/outbound/gl_balance/out/
