LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag
WSC_BS_ACCOUNT_NATURAL_SIGN|Sr No|1|N|1/1/1951||Sr No|Account Number|Balance Type
WSC_BS_ACCOUNT_NATURAL_SIGN|1||Y|1/1/1951||1|100000|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|2||Y|1/1/1951||2|110000|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|3||Y|1/1/1951||3|111000|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|4||Y|1/1/1951||4|111001|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|5||Y|1/1/1951||5|111002|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|6||Y|1/1/1951||6|111003|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|7||Y|1/1/1951||7|111004|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|8||Y|1/1/1951||8|111005|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|9||Y|1/1/1951||9|111006|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|10||Y|1/1/1951||10|111007|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|11||Y|1/1/1951||11|111008|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|12||Y|1/1/1951||12|111009|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|13||Y|1/1/1951||13|111010|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|14||Y|1/1/1951||14|111011|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|15||Y|1/1/1951||15|111012|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|16||Y|1/1/1951||16|111013|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|17||Y|1/1/1951||17|111014|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|18||Y|1/1/1951||18|111015|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|19||Y|1/1/1951||19|111016|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|20||Y|1/1/1951||20|111017|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|21||Y|1/1/1951||21|111018|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|22||Y|1/1/1951||22|111020|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|23||Y|1/1/1951||23|111021|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|24||Y|1/1/1951||24|111022|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|25||Y|1/1/1951||25|111023|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|26||Y|1/1/1951||26|111024|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|27||Y|1/1/1951||27|111025|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|28||Y|1/1/1951||28|111026|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|29||Y|1/1/1951||29|111027|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|30||Y|1/1/1951||30|111028|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|31||Y|1/1/1951||31|111029|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|32||Y|1/1/1951||32|111031|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|33||Y|1/1/1951||33|111032|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|34||Y|1/1/1951||34|111033|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|35||Y|1/1/1951||35|111034|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|36||Y|1/1/1951||36|111035|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|37||Y|1/1/1951||37|111036|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|38||Y|1/1/1951||38|111037|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|39||Y|1/1/1951||39|111038|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|40||Y|1/1/1951||40|111039|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|41||Y|1/1/1951||41|111040|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|42||Y|1/1/1951||42|111041|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|43||Y|1/1/1951||43|111042|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|44||Y|1/1/1951||44|111043|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|45||Y|1/1/1951||45|111044|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|46||Y|1/1/1951||46|111045|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|47||Y|1/1/1951||47|111046|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|48||Y|1/1/1951||48|111047|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|49||Y|1/1/1951||49|111048|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|50||Y|1/1/1951||50|111049|Debit
