LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag|SetName
WSC_GBL_AU_ESS_START_STOP_LKP|INT043|1|Y|||Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT044|2|Y|||Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT021|3|Y|||Wesco_AXE_GBL_GL_INT021_GL_Journals_To_Teradata_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/GL/Interfaces/Wesco_AXE_GBL_GL_INT021_GL_Journals_To_Teradata_Outbound_Interface_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT042|4|Y|||Wesco_AXE_GBL_GL_INT042_GL_Balances_To_Teradata_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/GL/Interfaces/Wesco_AXE_GBL_GL_INT042_GL_Balances_To_Teradata_Outbound_Interface_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT185_INT186|5|Y|||Wesco_AXE_GBL_AP_INT185_INT186_IC_AP_Invoices_Feed_To_IAP_Teradata_job_set|JobSet://oracle/apps/ess/custom/WESCO Custom/AP/Interfaces/Wesco_AXE_GBL_AP_INT185_INT186_IC_AP_Invoices_Feed_To_IAP_Teradata_job_set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT187_INT188|6|Y|||Wesco_AXE_GBL_AP_INT187_INT188_IC_AP_Payments_to_IAP_Teradata_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AP/Interfaces/Wesco_AXE_GBL_AP_INT187_INT188_IC_AP_Payments_to_IAP_Teradata_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT232_INT233|7|Y|||Wesco_AXE_GBL_AP_INT232_INT233_Open_AP_Invoice_Balances_to_IAP_Teradata_job_set|JobSet://oracle/apps/ess/custom/WESCO Custom/AP/Interfaces/Wesco_AXE_GBL_AP_INT232_INT233_Open_AP_Invoice_Balances_to_IAP_Teradata_job_set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT189_INT190|8|Y|||Wesco_AXE_GBL_AR_INT189_INT190_IC_AR_Invoice_to_IAP_Teradata_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AR/Interfaces/Wesco_AXE_GBL_AR_INT189_INT190_IC_AR_Invoice_to_IAP_Teradata_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT191_INT192|9|Y|||Wesco_AXE_GBL_AR_INT191_INT192_IC_AR_Receipts_to_IAP_Teradata_Job_set|JobSet://oracle/apps/ess/custom/WESCO Custom/AR/Interfaces/Wesco_AXE_GBL_AR_INT191_INT192_IC_AR_Receipts_to_IAP_Teradata_Job_set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT234_INT235|10|Y|||Wesco_AXE_GBL_AR_INT234_INT235_AR_Invoice_Balances_to_IAP_Teradata_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AR/Interfaces/Wesco_AXE_GBL_AR_INT234_INT235_AR_Invoice_Balances_to_IAP_Teradata_Job_Set|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT1514|11|Y|||Wesco_GBL_INT1514_Flex_Segments_Report|JobDefinition://oracle/apps/ess/custom/WESCO Custom/Miscellaneous/Interfaces/Wesco_GBL_INT1514_Flex_Segments_Report|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT1515|12|Y|||Wesco_GBL_INT1515_Payment_Document_Report|JobDefinition://oracle/apps/ess/custom/WESCO Custom/Miscellaneous/Interfaces/Wesco_GBL_INT1515_Payment_Document_Report|ESS|
WSC_GBL_AU_ESS_START_STOP_LKP|INT1513|13|Y|||Wesco_GBL_INT1513_Payment_Templates_Report|JobDefinition://oracle/apps/ess/custom/WESCO Custom/Miscellaneous/Interfaces/Wesco_GBL_INT1513_Payment_Templates_Report|ESS|


