LookupType|LookupCode|DisplaySequence|EnabledFlag|Meaning|Description|Tag
WSC_ESS_JOB_DETAILS_LKP|INT010|1|Y|Wesco_GBL_GL_INT010_GL_Balances_To_Teradata_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/GL/Interfaces/Wesco_GBL_GL_INT010_GL_Balances_To_Teradata_Outbound_Interface_Job_Set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT011|2|Y|Wesco_GBL_GL_INT011_GL_Journals_To_Teradata_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/GL/Interfaces/Wesco_GBL_GL_INT011_GL_Journals_To_Teradata_Outbound_Interface_Job_Set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT191_INT192|3|Y|Wesco_AXE_GBL_AR_INT191_INT192_IC_AR_Receipts_to_IAP_Teradata_Job_set|JobSet://oracle/apps/ess/custom/WESCO Custom/AR/Interfaces/Wesco_AXE_GBL_AR_INT191_INT192_IC_AR_Receipts_to_IAP_Teradata_Job_set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT189_INT190|4|Y|Wesco_AXE_GBL_AR_INT189_INT190_IC_AR_Invoice_to_IAP_Teradata_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AR/Interfaces/Wesco_AXE_GBL_AR_INT189_INT190_IC_AR_Invoice_to_IAP_Teradata_Job_Set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT232_INT233|5|Y|Wesco_AXE_GBL_AP_INT232_INT233_Open_AP_Invoice_Balances_to_IAP_Teradata_job_set|JobSet://oracle/apps/ess/custom/WESCO Custom/AP/Interfaces/Wesco_AXE_GBL_AP_INT232_INT233_Open_AP_Invoice_Balances_to_IAP_Teradata_job_set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT187_INT188|6|Y|Wesco_AXE_GBL_AP_INT187_INT188_IC_AP_Payments_to_IAP_Teradata_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AP/Interfaces/Wesco_AXE_GBL_AP_INT187_INT188_IC_AP_Payments_to_IAP_Teradata_Job_Set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT185_INT186|7|Y|Wesco_AXE_GBL_AP_INT185_INT186_IC_AP_Invoices_Feed_To_IAP_Teradata_job_set|JobSet://oracle/apps/ess/custom/WESCO Custom/AP/Interfaces/Wesco_AXE_GBL_AP_INT185_INT186_IC_AP_Invoices_Feed_To_IAP_Teradata_job_set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT244|8|Y|Wesco_AXE_GBL_AHCS_INT244_AHCS_Conversion_Details_To_IAP_Outbound_Interface_Job_|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT244_AHCS_Conversion_Details_To_IAP_Outbound_Interface_Job_set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT044|9|Y|Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT044_AHCS_Data_to_IAP_AHCS_Balances_Report_Job_Set|ESS
WSC_ESS_JOB_DETAILS_LKP|INT043|10|Y|Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Job_Set|JobSet://oracle/apps/ess/custom/WESCO Custom/AHCS/Interfaces/Wesco_AXE_GBL_AHCS_INT043_AHCS_Details_To_IAP_Outbound_Interface_Job_Set|ESS
